,REF_AREA,TIME_PERIOD,EPI
1409,IND,2020,26.092206161881816
1410,IDN,2020,25.535697920994966
1413,IRL,2020,48.55611286357445
1415,ISR,2020,49.15334977459856
1416,ITA,2020,58.10338619694365
1418,JPN,2020,61.53752119941272
1420,JOR,2020,37.30935657235423
1421,KAZ,2020,24.298400762757886
1428,LVA,2020,45.025260965884506
1434,LTU,2020,47.04743922137754
1435,LUX,2020,61.63345813969172
1439,MYS,2020,30.736232774386764
1446,MEX,2020,50.79129674119684
1452,MAR,2020,29.78423678795186
1454,MMR,2020,24.61221885203379
1458,NLD,2020,58.05969212338471
1460,NZL,2020,43.864323152465175
1463,NGA,2020,46.21751681167626
1467,NOR,2020,52.57319548036606
1469,PAK,2020,19.772970893191566
1474,PER,2020,33.23737265337151
1475,PHL,2020,15.681563054591619
1476,POL,2020,49.42661611819407
1477,PRT,2020,48.728345897693764
1480,ROU,2020,55.4337818795959
1481,RUS,2020,36.65797800466266
1490,SEN,2020,18.358511104547052
1494,SGP,2020,40.09317308482102
1496,SVK,2020,51.73901101727122
1497,SVN,2020,56.852756916827644
1500,ZAF,2020,42.335032454985665
1501,KOR,2020,43.153401392557726
1503,ESP,2020,61.052511900124685
1509,SWE,2020,68.79273192122481
1510,CHE,2020,67.23738507510562
1515,THA,2020,39.51796635849246
1520,TUN,2020,40.27867076920763
1521,TUR,2020,29.996222008370214
1526,UKR,2020,47.58900723623603
1528,GBR,2020,69.6524843011316
1529,USA,2020,50.145496174032225
1534,VNM,2020,6.0915679084702
